usage_type,fuel_type,distribution_type,param_1,param_2,param_1_name,param_2_name,unit,is_energy_based

transport_road,gasoline,uniform,10,120,min,max,L,false
transport_road,ethanol,uniform,10,120,min,max,L,false
transport_road,diesel,uniform,10,110,min,max,L,false
transport_road,electric,uniform,5,40,min,max,kWh,true

transport_naval,diesel,uniform,100,1500,min,max,L,false
transport_naval,lpg,uniform,100,1500,min,max,kg,false
transport_naval,biogas,uniform,100,1500,min,max,m3,false

residential,electric,uniform,5,60,min,max,kWh,true
residential,lpg,uniform,3,45,min,max,kg,false
residential,biogas,uniform,3,45,min,max,m3,false

commercial,electric,uniform,30,600,min,max,kWh,true
commercial,lpg,uniform,20,450,min,max,kg,false
commercial,diesel,uniform,20,450,min,max,L,false
commercial,ethanol,uniform,20,450,min,max,L,false

agriculture,diesel,uniform,50,700,min,max,L,false
agriculture,ethanol,uniform,50,700,min,max,L,false
agriculture,electric,uniform,40,600,min,max,kWh,true
agriculture,biogas,uniform,50,700,min,max,m3,false

industry_manufacturing,electric,uniform,100,1200,min,max,kWh,true
industry_manufacturing,diesel,uniform,90,1100,min,max,L,false
industry_manufacturing,lpg,uniform,90,1100,min,max,kg,false
industry_manufacturing,ethanol,uniform,90,1100,min,max,L,false

industry_metallurgy,electric,uniform,300,3000,min,max,kWh,true
industry_metallurgy,diesel,uniform,280,2800,min,max,L,false
industry_metallurgy,coal,uniform,280,2800,min,max,kg,false

industry_chemical,electric,uniform,200,2000,min,max,kWh,true
industry_chemical,ethanol,uniform,180,1800,min,max,L,false
industry_chemical,lpg,uniform,180,1800,min,max,kg,false

energy_generation,electric,uniform,1000,10000,min,max,kWh,true
