,Coluna1,DataExcel,SetorIndustrial,UF,Regiao,Consumo,DataVersao
0,20251201,2025-12-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,AM,Norte,15,23/02/2026
1,20251201,2025-12-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,DF,Centro-Oeste,"1,077",23/02/2026
2,20251201,2025-12-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,ES,Sudeste,23,23/02/2026
3,20251201,2025-12-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,MA,Nordeste,"39,586",23/02/2026
4,20251201,2025-12-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,MG,Sudeste,20994,23/02/2026
5,20251201,2025-12-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,MS,Centro-Oeste,"0,161",23/02/2026
6,20251201,2025-12-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,MT,Centro-Oeste,"1,111",23/02/2026
7,20251201,2025-12-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,PA,Norte,"11,06",23/02/2026
8,20251201,2025-12-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,PB,Nordeste,"4,409",23/02/2026
9,20251201,2025-12-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,PE,Nordeste,"16,131",23/02/2026
10,20251201,2025-12-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,PR,Sul,"114,201",23/02/2026
11,20251201,2025-12-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,RO,Norte,"0,535",23/02/2026
12,20251201,2025-12-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,RS,Sul,"293,552",23/02/2026
13,20251201,2025-12-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,SC,Sul,"3800,373",23/02/2026
14,20251201,2025-12-01,05 - EXTRAÇÃO DE CARVÃO MINERAL,SP,Sudeste,"52,166",23/02/2026
15,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,AL,Nordeste,"6520,25",23/02/2026
16,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,AM,Norte,56,23/02/2026
17,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,BA,Nordeste,38991,23/02/2026
18,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,CE,Nordeste,"257,584",23/02/2026
19,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,DF,Centro-Oeste,"0,1",23/02/2026
20,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,ES,Sudeste,7439,23/02/2026
21,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,MA,Nordeste,"274,118",23/02/2026
22,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,MG,Sudeste,"155,903",23/02/2026
23,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,MT,Centro-Oeste,"1,664",23/02/2026
24,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,PA,Norte,"9,29",23/02/2026
25,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,PB,Nordeste,"1,661",23/02/2026
26,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,PE,Nordeste,"0,774",23/02/2026
27,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,PI,Nordeste,"2,06",23/02/2026
28,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,PR,Sul,2018,23/02/2026
29,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,RJ,Sudeste,"3711,533",23/02/2026
30,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,RN,Nordeste,44336,23/02/2026
31,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,RS,Sul,"401,703",23/02/2026
32,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,SC,Sul,"2,751",23/02/2026
33,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,SE,Nordeste,"208,786",23/02/2026
34,20251201,2025-12-01,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,SP,Sudeste,"12,997",23/02/2026
35,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,AL,Nordeste,"8,139",23/02/2026
36,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,AM,Norte,145,23/02/2026
37,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,AP,Norte,89,23/02/2026
38,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,BA,Nordeste,83812,23/02/2026
39,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,CE,Nordeste,"9,597",23/02/2026
40,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,ES,Sudeste,174962,23/02/2026
41,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,GO,Centro-Oeste,"49995,039",23/02/2026
42,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,MA,Nordeste,"40116,795",23/02/2026
43,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,MG,Sudeste,"650147,237",23/02/2026
44,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,MS,Centro-Oeste,"2905,486",23/02/2026
45,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,MT,Centro-Oeste,"22560,01",23/02/2026
46,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,PA,Norte,"377830,612",23/02/2026
47,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,PB,Nordeste,"9,018",23/02/2026
48,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,PE,Nordeste,"84,073",23/02/2026
49,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,PI,Nordeste,"63,18",23/02/2026
50,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,PR,Sul,598,23/02/2026
51,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,RJ,Sudeste,"1974,556",23/02/2026
52,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,RN,Nordeste,5322,23/02/2026
53,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,RO,Norte,"2647,278",23/02/2026
54,20251201,2025-12-01,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,RS,Sul,"42,926",23/02/2026
