UF,Classe,month,seasonal_factor,var
AC,comercial,1,0.9802077068385696,67146844.16999999
AC,comercial,2,0.9551210917315396,67671372.74333331
AC,comercial,3,0.9740366451787786,63960077.96333333
AC,comercial,4,0.9756122353897893,66499729.21333333
AC,comercial,5,1.0301310450567975,74366006.89000002
AC,comercial,6,0.9621307739875136,66059468.24333334
AC,comercial,7,0.911750006353186,54280619.70333333
AC,comercial,8,1.0082083167444578,67685934.84333332
AC,comercial,9,1.0413677139541384,71596752.02333333
AC,comercial,10,1.053226995112282,70574554.70333333
AC,comercial,11,1.0695885676529635,75832490.02333334
AC,comercial,12,1.038618901999983,71237555.18999998
AC,industrial,1,0.9354257726637816,2106249.903333333
AC,industrial,2,0.9229086735412058,1900621.663333333
AC,industrial,3,0.9869234572891892,2119895.68
AC,industrial,4,0.9776330844110144,2050131.37
AC,industrial,5,1.016938508126369,2316508.39
AC,industrial,6,0.973323564124868,2086845.3233333328
AC,industrial,7,1.0046163119313076,2386790.013333333
AC,industrial,8,1.0625241372838472,2359384.343333333
AC,industrial,9,1.027658169139648,2417127.19
AC,industrial,10,1.0446796914758845,2452671.49
AC,industrial,11,1.0157690905612844,2376468.8400000003
AC,industrial,12,1.031599539451601,2676991.373333333
AC,outros,1,0.9670816940169844,82735421.90333334
AC,outros,2,0.8800942448815389,71600087.44333333
AC,outros,3,0.9314524487687588,80923626.83999999
AC,outros,4,0.9903546518997136,91345029.16333334
AC,outros,5,1.0408124593836017,98193816.91
AC,outros,6,0.9905225224155888,88223610.52333334
AC,outros,7,0.9592273886681466,79508600.28999999
AC,outros,8,0.9842095736216072,84324282.28
AC,outros,9,1.054501536905443,100668626.56
AC,outros,10,1.0878975955939925,109530402.94333331
AC,outros,11,1.071507328862156,108516441.01333334
AC,outros,12,1.0423385549824689,102415483.96
AC,residencial,1,0.9961700198080428,1512098526.6450002
AC,residencial,2,1.0021976722070427,1519867951.22
AC,residencial,3,0.9564483993524114,1385879628.125
AC,residencial,4,0.9612165942227312,1402497314.42
AC,residencial,5,1.0360847338903088,1628880549.12
AC,residencial,6,0.9564170868724166,1389103527.8449998
AC,residencial,7,0.8585133994219947,1116692362.8449998
AC,residencial,8,0.9936197922706882,1495426953.845
AC,residencial,9,1.0419210322448955,1648097578.1249998
AC,residencial,10,1.05171314057216,1683682420.5
AC,residencial,11,1.0916991775255254,1813802358.08
AC,residencial,12,1.053998951611781,1685226345.68
AC,rural,1,1.030357844214714,3201858.72
AC,rural,2,0.9929987784796216,3270355.32
AC,rural,3,0.991939406823939,2894945.853333333
AC,rural,4,0.9831185163031532,2784418.3633333333
AC,rural,5,1.024779928150099,3145548.6900000004
AC,rural,6,0.94744579728527,2690764.463333334
AC,rural,7,0.9275987936135024,2497079.9033333333
AC,rural,8,1.0099703448002508,2937209.6633333336
AC,rural,9,1.036173578406114,3100604.463333334
AC,rural,10,1.0116566915174598,2827798.773333334
AC,rural,11,1.0518911946036904,3233278.83
AC,rural,12,0.9920691258021856,2780343.773333333
AL,comercial,1,1.0511241772707327,262876399.2450001
AL,comercial,2,1.000382623957876,293333264.7199999
AL,comercial,3,1.054176978206816,247099788.18000004
AL,comercial,4,1.0588971771244695,301690135.2200001
