,usage_type,fuel_type,energy_kwh
0,residential,electric,100.81917600122469
1,residential,electric,226.91599666167085
2,residential,electric,114.51717098219027
3,agriculture,electric,680.35738125203
4,residential,electric,132.3391816626531
5,other,electric,5993.16617884225
6,residential,electric,344.52892908624466
7,residential,electric,284.93524888388185
8,residential,electric,133.82008116395082
9,commercial,electric,1332.122284726991
10,residential,electric,90.00376773788487
11,residential,electric,271.46117253180466
12,other,electric,4812.750364712482
13,commercial,electric,4207.714811815436
14,residential,electric,107.64743510307746
15,residential,electric,156.82461926557502
16,industrial,electric,62922.548037190776
17,industrial,electric,42894.09786722338
18,residential,electric,197.05684364503276
19,residential,electric,141.88742295829175
20,industrial,electric,91002.48695135242
21,residential,electric,357.6909473212109
22,residential,electric,168.49744001742397
23,other,electric,5034.984047045699
24,agriculture,electric,678.9130532665622
25,industrial,electric,26602.80764713832
26,residential,electric,171.56404050195303
27,agriculture,electric,609.9837226071547
28,residential,electric,191.9739262337538
29,residential,electric,79.80522313598101
30,residential,electric,180.05994686690914
31,residential,electric,256.20351295529343
32,residential,electric,304.0994402897854
33,residential,electric,143.30470089887118
34,commercial,electric,1190.630494505429
35,residential,electric,241.57733517092953
36,residential,electric,130.16740964691803
37,commercial,electric,1053.5015065873508
38,residential,electric,178.8530277033847
39,commercial,electric,1609.7656168735493
40,residential,electric,179.25177419360622
41,residential,electric,255.0862078697392
42,other,electric,5617.013452464579
43,commercial,electric,1882.8964477262948
44,residential,electric,144.35477256953715
45,industrial,electric,21189.14340007841
46,residential,electric,244.35740419955792
47,residential,electric,299.3024953578246
48,residential,electric,136.85061351103212
49,residential,electric,181.00574552602612
50,commercial,electric,1322.9397941483473
51,residential,electric,199.91177995075503
52,commercial,electric,1299.113128297746
53,commercial,electric,1348.1755007677878
54,commercial,electric,1592.6920908389432
55,commercial,electric,902.2768156427142
56,industrial,electric,20249.730034193068
57,other,electric,9581.414941162984
58,residential,electric,143.70934005564075
59,commercial,electric,3503.2666360294593
60,other,electric,3931.4169585048353
61,residential,electric,155.17078547229877
62,residential,electric,180.21669997678012
63,residential,electric,124.45195365963676
64,residential,electric,225.35765176763766
65,residential,electric,194.52545518684235
66,residential,electric,181.71157598901777
67,commercial,electric,1452.6879823977579
68,commercial,electric,839.2039648652179
69,residential,electric,203.16492427454975
70,commercial,electric,1256.7798582284931
71,residential,electric,155.41738723932298
72,residential,electric,171.32041365552314
73,commercial,electric,2217.3130386331236
74,residential,electric,262.856349466305
75,other,electric,6872.3577153707865
76,other,electric,7486.901312718799
77,residential,electric,315.24104207867134
78,residential,electric,158.44765154126173
79,industrial,electric,16733.915792025742
80,residential,electric,307.65414640858836
81,residential,electric,138.7590332381803
82,residential,electric,137.86791495115003
83,residential,electric,222.2151948651285
84,residential,electric,159.7726785043894
85,other,electric,4963.223495051016
86,agriculture,electric,1147.6549669556678
87,residential,electric,121.24157604234696
88,residential,electric,331.02714906004206
89,commercial,electric,1363.8692509923226
90,residential,electric,216.94763820610171
91,residential,electric,175.18678025573524
92,residential,electric,300.1019539469884
93,residential,electric,306.1571104710986
94,residential,electric,160.67897142533837
95,residential,electric,146.702320158801
96,commercial,electric,967.5693437726848
97,residential,electric,182.02523785317135
98,residential,electric,111.68878162732591
99,residential,electric,105.8836186110601
100,residential,electric,238.36338086740415
101,residential,electric,162.48148523246152
102,industrial,electric,54470.23050938881
103,commercial,electric,1089.6506903264424
104,industrial,electric,68404.37782276692
105,residential,electric,151.43512415244467
106,residential,electric,162.25934631167888
107,residential,electric,194.83768004706067
108,residential,electric,157.21006837026798
109,industrial,electric,14349.927007770668
110,residential,electric,219.48783077373983
111,residential,electric,214.3015893734098
112,agriculture,electric,553.3329601114983
113,residential,electric,209.63108701086776
114,agriculture,electric,373.53646967710995
115,industrial,electric,31639.033219142562
116,residential,electric,134.25063042013412
117,residential,electric,135.17353016783545
118,residential,electric,270.06728121737984
119,commercial,electric,1891.0719513868914
120,industrial,electric,49834.097361945154
121,other,electric,5188.147412013935
122,commercial,electric,1873.8696724523786
123,industrial,electric,15771.764426902559
124,industrial,electric,52741.70451494715
125,residential,electric,239.64927835079538
126,residential,electric,132.92021935162225
127,residential,electric,147.62458199084517
128,industrial,electric,109717.49984471536
129,residential,electric,191.96771207176639
130,residential,electric,153.14858858394467
131,commercial,electric,2605.6008968223596
132,commercial,electric,1684.8452541797233
133,industrial,electric,17332.524717636872
134,residential,electric,189.25474715346573
135,commercial,electric,2134.2496065605765
136,residential,electric,172.05672756026092
137,residential,electric,260.89514922884854
138,commercial,electric,1154.9343708562722
139,commercial,electric,1839.6496323771323
140,residential,electric,181.34438648580456
141,residential,electric,171.00004055275727
142,residential,electric,123.21930680441896
143,residential,electric,163.32754766705537
144,commercial,electric,1969.3282477648486
145,commercial,electric,1182.8081027777025
146,residential,electric,192.3808323871051
147,industrial,electric,38561.40882985784
148,residential,electric,177.17648884064286
149,commercial,electric,2335.325394117659
150,residential,electric,182.39711324156218
151,residential,electric,353.6584813408971
152,residential,electric,256.5719340039281
153,residential,electric,124.36239979057511
154,residential,electric,145.1385060317357
155,residential,electric,160.55908401449892
156,residential,electric,175.55274111311445
157,residential,electric,160.58128207549774
158,residential,electric,320.8402723592873
159,residential,electric,119.39726571136998
160,residential,electric,132.23409263381504
161,commercial,electric,517.9652562786752
162,agriculture,electric,469.31839425555495
163,residential,electric,193.5235949685843
164,commercial,electric,1710.7039117568522
165,agriculture,electric,1177.925353559764
166,commercial,electric,2123.3771591916734
167,residential,electric,154.7451661212497
168,residential,electric,158.5333433166187
169,residential,electric,241.52661012956833
170,agriculture,electric,707.0371032375587
171,residential,electric,162.59810782804806
172,residential,electric,249.64927819602417
173,residential,electric,239.54096081561153
174,commercial,electric,1357.788487721155
175,residential,electric,199.2180154003464
176,residential,electric,69.5671197617505
177,residential,electric,123.71476201711666
178,residential,electric,126.133748056525
179,industrial,electric,17201.33970384129
180,residential,electric,148.89915177856403
181,residential,electric,200.93278834878893
182,commercial,electric,2536.7516480155678
183,residential,electric,176.7046040748707
184,commercial,electric,1534.6228618045247
185,other,electric,4096.756695493738
186,residential,electric,117.95015335095289
187,residential,electric,150.33232532213353
188,residential,electric,111.43823476179949
189,residential,electric,267.2570042357426
190,residential,electric,89.2208812587855
191,residential,electric,389.6484931348711
192,residential,electric,139.15771815410054
193,residential,electric,159.3711859198805
194,commercial,electric,1585.6074461674157
195,commercial,electric,2364.763114161528
196,commercial,electric,1717.8365227345732
197,agriculture,electric,765.57568742604
198,industrial,electric,18451.209369068252
199,agriculture,electric,617.4360571074501
200,residential,electric,257.0906034899039
201,residential,electric,137.1331021321944
202,industrial,electric,22991.911343099313
203,residential,electric,227.14332474995481
204,residential,electric,195.28656271687535
205,residential,electric,194.81174317704188
206,industrial,electric,99896.32726564734
207,residential,electric,288.35537676434893
208,residential,electric,253.19632634240588
209,residential,electric,124.65799607265518
210,industrial,electric,54686.3768582053
211,residential,electric,127.1679266496042
212,commercial,electric,910.9803379317923
213,residential,electric,220.29940735248135
214,commercial,electric,1776.7017946892745
215,residential,electric,90.45406794322622
216,residential,electric,193.60476851916022
217,residential,electric,143.69319135620208
218,commercial,electric,1641.5143756041487
219,residential,electric,164.17348069847648
220,residential,electric,203.92503613440718
221,commercial,electric,1211.1975335410941
222,residential,electric,233.78232141759165
223,residential,electric,144.95488330408807
224,industrial,electric,48079.969495916106
225,residential,electric,195.26862107909298
226,commercial,electric,2891.6862404162225
227,residential,electric,287.9554059492824
228,residential,electric,159.60966387423485
229,residential,electric,151.909044085758
230,residential,electric,282.1935504531426
231,residential,electric,96.46215012997025
232,residential,electric,161.5679782754658
233,residential,electric,184.9987366523978
234,commercial,electric,1540.116366821481
235,residential,electric,167.36501113504858
236,residential,electric,170.4711421983623
237,other,electric,2906.179029821424
238,residential,electric,121.614091679992
239,commercial,electric,1929.15401498075
240,residential,electric,181.99193155946313
241,commercial,electric,1094.1013073946342
242,residential,electric,178.13868592774395
243,commercial,electric,1138.4929657221371
244,residential,electric,266.8589156439523
245,agriculture,electric,652.8302395814031
246,residential,electric,161.27361064853937
247,residential,electric,237.80368258366437
248,commercial,electric,1325.5336540222406
249,industrial,electric,30668.681442143552
250,commercial,electric,2224.273235292333
251,industrial,electric,101175.87884940763
252,residential,electric,158.277933691801
253,residential,electric,278.9380036168907
254,commercial,electric,1522.9085905649265
255,industrial,electric,75841.32654763087
256,residential,electric,127.92389569348686
257,other,electric,3913.7085940953384
258,commercial,electric,1666.571883732949
259,residential,electric,195.0053844635178
260,residential,electric,146.74633835431504
261,residential,electric,162.4987105354936
262,agriculture,electric,872.0841437476798
263,residential,electric,168.78415463984865
264,residential,electric,174.27124762944325
265,commercial,electric,882.8957053154395
266,commercial,electric,1557.7995951379412
267,commercial,electric,994.9253442625425
268,residential,electric,256.3291892105552
269,residential,electric,158.71057331140278
270,residential,electric,146.81861120845687
271,commercial,electric,696.4837141799551
272,residential,electric,141.43035097842431
273,industrial,electric,23065.48107941632
274,industrial,electric,24046.35260031005
275,residential,electric,89.3526170254832
276,other,electric,4415.233915591863
277,residential,electric,223.0676670834647
278,industrial,electric,42936.880328864725
279,residential,electric,292.8307502415619
280,commercial,electric,987.94101831263
281,residential,electric,159.69316817953478
282,residential,electric,311.83537472198486
283,residential,electric,94.7485479085972
284,residential,electric,262.6574273903535
285,residential,electric,139.13149031750496
286,other,electric,3097.2620907145956
287,residential,electric,161.3367305466927
288,residential,electric,198.3292718368221
289,commercial,electric,953.8941495136067
290,other,electric,4527.967115656879
291,residential,electric,132.12697559700675
292,commercial,electric,713.203066891471
293,residential,electric,203.4082809190974
294,residential,electric,211.70944497234188
295,commercial,electric,1662.9808169113878
296,residential,electric,284.21220255469325
297,residential,electric,108.29149185474382
298,industrial,electric,12656.071226469214
